Complex_Name,Protein,Ligand,Delta_G (kcal/mol),Closest_Cys_ID,Distance_to_CHO (A)
A7_57_S-3-oxopropylglutathione,A7.pdb,57_S-3-oxopropylglutathione.sdf,-6.09,318,4.803
A7_58_S-(4-oxobutan-2-yl)glutathione,A7.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-6.08,318,4.152
A7_56_S-hydroxy-methylglutathione,A7.pdb,56_S-hydroxy-methylglutathione.sdf,-6.07,318,4.192
A7_37_thiobenzaldehyde,A7.pdb,37_thiobenzaldehyde.sdf,-6.03,,
A7_59_4-Hydroxynonenal_glutathione,A7.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.99,318,8.909
A4_58_S-(4-oxobutan-2-yl)glutathione,A4.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-5.99,318,3.537
A2_57_S-3-oxopropylglutathione,A2.pdb,57_S-3-oxopropylglutathione.sdf,-5.96,281,5.395
A4_56_S-hydroxy-methylglutathione,A4.pdb,56_S-hydroxy-methylglutathione.sdf,-5.96,319,3.4
A6_37_thiobenzaldehyde,A6.pdb,37_thiobenzaldehyde.sdf,-5.91,,
A4_37_thiobenzaldehyde,A4.pdb,37_thiobenzaldehyde.sdf,-5.91,,
A4_57_S-3-oxopropylglutathione,A4.pdb,57_S-3-oxopropylglutathione.sdf,-5.87,319,2.851
A2_60_S-Formylglutathione,A2.pdb,60_S-Formylglutathione.sdf,-5.86,282,2.715
A3_57_S-3-oxopropylglutathione,A3.pdb,57_S-3-oxopropylglutathione.sdf,-5.83,313,5.231
A3_52_Triose phosphate,A3.pdb,52_Triose phosphate.sdf,-5.82,314,4.606
A2_40_Furan-2-carbaldehyde,A2.pdb,40_Furan-2-carbaldehyde.sdf,-5.81,282,3.948
A3_60_S-Formylglutathione,A3.pdb,60_S-Formylglutathione.sdf,-5.8,314,3.807
A3_56_S-hydroxy-methylglutathione,A3.pdb,56_S-hydroxy-methylglutathione.sdf,-5.79,313,5.974
A7_60_S-Formylglutathione,A7.pdb,60_S-Formylglutathione.sdf,-5.78,318,4.657
A2_52_Triose phosphate,A2.pdb,52_Triose phosphate.sdf,-5.78,282,4.371
A6_58_S-(4-oxobutan-2-yl)glutathione,A6.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-5.77,466,2.279
A2_37_thiobenzaldehyde,A2.pdb,37_thiobenzaldehyde.sdf,-5.77,,
A4_52_Triose phosphate,A4.pdb,52_Triose phosphate.sdf,-5.72,319,7.751
A7_52_Triose phosphate,A7.pdb,52_Triose phosphate.sdf,-5.7,319,7.831
A5_37_thiobenzaldehyde,A5.pdb,37_thiobenzaldehyde.sdf,-5.69,,
A6_52_Triose phosphate,A6.pdb,52_Triose phosphate.sdf,-5.65,466,6.567
A2_53_Pyridoxal phosphate,A2.pdb,53_Pyridoxal phosphate.sdf,-5.64,281,5.519
A6_56_S-hydroxy-methylglutathione,A6.pdb,56_S-hydroxy-methylglutathione.sdf,-5.64,466,2.732
A1_56_S-hydroxy-methylglutathione,A1.pdb,56_S-hydroxy-methylglutathione.sdf,-5.63,302,6.182
A1_60_S-Formylglutathione,A1.pdb,60_S-Formylglutathione.sdf,-5.63,126,8.383
A1_58_S-(4-oxobutan-2-yl)glutathione,A1.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-5.63,302,6.78
A3_58_S-(4-oxobutan-2-yl)glutathione,A3.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-5.62,314,6.013
A6_60_S-Formylglutathione,A6.pdb,60_S-Formylglutathione.sdf,-5.61,466,6.251
A1_57_S-3-oxopropylglutathione,A1.pdb,57_S-3-oxopropylglutathione.sdf,-5.6,302,6.609
A7_10_4-guanidinobutyraldehyde,A7.pdb,10_4-guanidinobutyraldehyde.sdf,-5.59,318,3.445
A7_42_Glutamate-5-semialdehyde,A7.pdb,42_Glutamate-5-semialdehyde.sdf,-5.58,319,3.006
A7_48_alpha-aminoadipate semialdehyde,A7.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.56,319,3.09
A4_60_S-Formylglutathione,A4.pdb,60_S-Formylglutathione.sdf,-5.54,319,12.454
A2_58_S-(4-oxobutan-2-yl)glutathione,A2.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-5.53,281,5.923
A4_49_2-Aminomuconic semialdehyde,A4.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.51,318,3.811
A5_40_Furan-2-carbaldehyde,A5.pdb,40_Furan-2-carbaldehyde.sdf,-5.5,86,6.277
A7_50_10-formyltetrahydrofolate,A7.pdb,50_10-formyltetrahydrofolate.sdf,-5.5,318,4.624
A3_59_4-Hydroxynonenal_glutathione,A3.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.5,314,3.996
A4_51_6R-Tetrahydrofolic acid,A4.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.49,318,5.084
A2_50_10-formyltetrahydrofolate,A2.pdb,50_10-formyltetrahydrofolate.sdf,-5.48,282,3.618
